datasize,name,ns/op (Random),B/op (Random),ns/op (Xor),B/op (Xor)
256,Dps-Go2,4705,0,3784,0
256,TimSort-Go2,20412,1328,11747,1328
256,BuiltinSort-Sort,25245,32,22057,32
256,BuiltinSort-Slice,21667,64,19140,64
4096,Dps-Go2,238153,0,110881,0
4096,TimSort-Go2,762894,31248,143021,10768
4096,BuiltinSort-Sort,766697,32,546598,32
4096,BuiltinSort-Slice,685033,64,481984,64
65536,Dps-Go2,5124400,0,2053240,0
65536,TimSort-Go2,16556800,485904,2154630,10768
65536,BuiltinSort-Sort,16363100,32,10668000,32
65536,BuiltinSort-Slice,14359300,64,9303230,64
