datasize,name,ns/op,B/op
256,Unstable-Dps-Go2,60984,0
256,Stable-TimSort-Go2,60244,3376
256,Unstable-BuiltinSort-Sort,50532,32
256,Unstable-BuiltinSort-Slice,72224,112
256,Stable-BuiltinSort-Stable,90104,32
256,Stable-BuiltinSort-SliceStable,189830,112
4096,Unstable-Dps-Go2,1674460,0
4096,Stable-TimSort-Go2,1958560,31248
4096,Unstable-BuiltinSort-Sort,1437390,32
4096,Unstable-BuiltinSort-Slice,1866420,112
4096,Stable-BuiltinSort-Stable,3161070,32
4096,Stable-BuiltinSort-SliceStable,6714520,112
65536,Unstable-Dps-Go2,38637000,0
65536,Stable-TimSort-Go2,48681200,670224
65536,Unstable-BuiltinSort-Sort,34291400,32
65536,Unstable-BuiltinSort-Slice,43413600,112
65536,Stable-BuiltinSort-Stable,88477200,32
65536,Stable-BuiltinSort-SliceStable,196954000,112
