datasize,name,ns/op (Random),B/op (Random),ns/op (Xor),B/op (Xor)
256,Stable-TimSort-Go2,61681,3376,32689,3376
256,Unstable-BuiltinSort-Sort,51671,32,47382,32
256,Unstable-BuiltinSort-Slice,74128,112,67480,112
256,Stable-BuiltinSort-Stable,93657,32,62531,32
256,Stable-BuiltinSort-SliceStable,198415,112,133601,112
4096,Stable-TimSort-Go2,1803520,68112,586724,31248
4096,Unstable-BuiltinSort-Sort,1453990,32,1214530,32
4096,Unstable-BuiltinSort-Slice,1917330,112,1612280,112
4096,Stable-BuiltinSort-Stable,3276600,32,1510230,32
4096,Stable-BuiltinSort-SliceStable,6948320,112,3554680,112
65536,Stable-TimSort-Go2,48117100,1149460,15234900,670224
65536,Unstable-BuiltinSort-Sort,35827800,32,26340700,32
65536,Unstable-BuiltinSort-Slice,44322100,112,34951500,112
65536,Stable-BuiltinSort-Stable,91030400,32,27851400,32
65536,Stable-BuiltinSort-SliceStable,196069000,112,65974900,112
