name,time/op (ns/op),±
IntsGo2/Dps-Go2-Random-256,4.70560E+03,2%
IntsGo2/TimSort-Go2-Random-256,2.04126E+04,2%
IntsGo2/BuiltinSort-Sort-Random-256,2.52456E+04,6%
IntsGo2/BuiltinSort-Slice-Random-256,2.16678E+04,3%
IntsGo2/Dps-Go2-Xor-256,3.78400E+03,3%
IntsGo2/TimSort-Go2-Xor-256,1.17472E+04,6%
IntsGo2/BuiltinSort-Sort-Xor-256,2.20570E+04,3%
IntsGo2/BuiltinSort-Slice-Xor-256,1.91406E+04,2%
IntsGo2/Dps-Go2-Random-4096,2.38153E+05,2%
IntsGo2/TimSort-Go2-Random-4096,7.62894E+05,1%
IntsGo2/BuiltinSort-Sort-Random-4096,7.66697E+05,1%
IntsGo2/BuiltinSort-Slice-Random-4096,6.85033E+05,1%
IntsGo2/Dps-Go2-Xor-4096,1.10881E+05,4%
IntsGo2/TimSort-Go2-Xor-4096,1.43021E+05,4%
IntsGo2/BuiltinSort-Sort-Xor-4096,5.46598E+05,2%
IntsGo2/BuiltinSort-Slice-Xor-4096,4.81984E+05,2%
IntsGo2/Dps-Go2-Random-65536,5.12440E+06,1%
IntsGo2/TimSort-Go2-Random-65536,1.65568E+07,3%
IntsGo2/BuiltinSort-Sort-Random-65536,1.63631E+07,0%
IntsGo2/BuiltinSort-Slice-Random-65536,1.43593E+07,3%
IntsGo2/Dps-Go2-Xor-65536,2.05324E+06,4%
IntsGo2/TimSort-Go2-Xor-65536,2.15463E+06,3%
IntsGo2/BuiltinSort-Sort-Xor-65536,1.06680E+07,7%
IntsGo2/BuiltinSort-Slice-Xor-65536,9.30323E+06,2%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-256,6.16812E+04,2%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-256,5.16710E+04,5%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-256,7.41282E+04,4%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-256,9.36570E+04,3%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-256,1.98415E+05,2%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-256,3.26892E+04,2%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-256,4.73826E+04,4%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-256,6.74800E+04,4%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-256,6.25318E+04,5%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-256,1.33601E+05,3%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-4096,1.80352E+06,2%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-4096,1.45399E+06,1%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-4096,1.91733E+06,3%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-4096,3.27660E+06,4%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-4096,6.94832E+06,3%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-4096,5.86724E+05,1%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-4096,1.21453E+06,1%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-4096,1.61228E+06,1%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-4096,1.51023E+06,3%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-4096,3.55468E+06,2%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-65536,4.81171E+07,4%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-65536,3.58278E+07,1%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-65536,4.43221E+07,3%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-65536,9.10304E+07,3%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-65536,1.96069E+08,2%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-65536,1.52349E+07,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-65536,2.63407E+07,3%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-65536,3.49515E+07,3%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-65536,2.78514E+07,3%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-65536,6.59749E+07,2%

name,alloc/op (B/op),±
IntsGo2/Dps-Go2-Random-256,0.00000E+00
IntsGo2/TimSort-Go2-Random-256,1.32800E+03,0%
IntsGo2/BuiltinSort-Sort-Random-256,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Random-256,6.40000E+01,0%
IntsGo2/Dps-Go2-Xor-256,0.00000E+00
IntsGo2/TimSort-Go2-Xor-256,1.32800E+03,0%
IntsGo2/BuiltinSort-Sort-Xor-256,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Xor-256,6.40000E+01,0%
IntsGo2/Dps-Go2-Random-4096,0.00000E+00
IntsGo2/TimSort-Go2-Random-4096,3.12480E+04,0%
IntsGo2/BuiltinSort-Sort-Random-4096,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Random-4096,6.40000E+01,0%
IntsGo2/Dps-Go2-Xor-4096,0.00000E+00
IntsGo2/TimSort-Go2-Xor-4096,1.07680E+04,0%
IntsGo2/BuiltinSort-Sort-Xor-4096,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Xor-4096,6.40000E+01,0%
IntsGo2/Dps-Go2-Random-65536,0.00000E+00
IntsGo2/TimSort-Go2-Random-65536,4.85904E+05,0%
IntsGo2/BuiltinSort-Sort-Random-65536,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Random-65536,6.40000E+01,0%
IntsGo2/Dps-Go2-Xor-65536,0.00000E+00
IntsGo2/TimSort-Go2-Xor-65536,1.07680E+04,0%
IntsGo2/BuiltinSort-Sort-Xor-65536,3.20000E+01,0%
IntsGo2/BuiltinSort-Slice-Xor-65536,6.40000E+01,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-256,3.37600E+03,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-256,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-256,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-256,3.20000E+01,0%
