datasize,name,ns/op,B/op
256,Dps-SpecializedInts,3776,0
256,Dps-TypeAssertion,62798,8224
256,TimSort-TypeAssertion,68628,10576
256,TimSort-Interface,29443,3408
256,TimSort-Slice,40867,3504
256,BuiltinSort-Sort,23748,32
256,BuiltinSort-Stable,56696,32
256,BuiltinSort-SpecializedInts,4244,0
256,BuiltinSort-Slice,20925,64
256,BuiltinSort-SliceStable,49009,64
1024,Dps-SpecializedInts,36906,0
1024,Dps-TypeAssertion,311657,32800
1024,TimSort-TypeAssertion,352327,45392
1024,TimSort-Interface,199690,14672
1024,TimSort-Slice,243694,14768
1024,BuiltinSort-Sort,151960,32
1024,BuiltinSort-Stable,362256,32
1024,BuiltinSort-SpecializedInts,46497,0
1024,BuiltinSort-Slice,132004,64
1024,BuiltinSort-SliceStable,326300,64
4096,Dps-SpecializedInts,235649,0
4096,Dps-TypeAssertion,1407550,131104
4096,TimSort-TypeAssertion,1597070,152112
4096,TimSort-Interface,995689,43568
4096,TimSort-Slice,1189500,43664
4096,BuiltinSort-Sort,766334,32
4096,BuiltinSort-Stable,1909860,32
4096,BuiltinSort-SpecializedInts,308041,0
4096,BuiltinSort-Slice,681366,64
4096,BuiltinSort-SliceStable,1738560,64
16384,Dps-SpecializedInts,1123270,0
16384,Dps-TypeAssertion,6000930,524320
16384,TimSort-TypeAssertion,9007350,545328
16384,TimSort-Interface,4671990,141872
16384,TimSort-Slice,5655770,141968
16384,BuiltinSort-Sort,3534650,32
16384,BuiltinSort-Stable,9681240,32
16384,BuiltinSort-SpecializedInts,1383180,0
16384,BuiltinSort-Slice,3108880,64
16384,BuiltinSort-SliceStable,8880180,64
65536,Dps-SpecializedInts,5085460,0
65536,Dps-TypeAssertion,39756200,2097180
65536,TimSort-TypeAssertion,32472800,2118190
65536,TimSort-Interface,22158500,535088
65536,TimSort-Slice,26994100,535184
65536,BuiltinSort-Sort,16055100,32
65536,BuiltinSort-Stable,48454000,32
65536,BuiltinSort-SpecializedInts,6231970,0
65536,BuiltinSort-Slice,14271700,64
65536,BuiltinSort-SliceStable,43551700,64
