datasize,name,ns/op,B/op
256,Dps-SpecializedInts,3610,0
256,Dps-TypeAssertion,60288,8224
256,TimSort-TypeAssertion,58663,10576
256,TimSort-Interface,15749,3408
256,TimSort-Slice,21031,3504
256,BuiltinSort-Sort,21782,32
256,BuiltinSort-Stable,36729,32
256,BuiltinSort-SpecializedInts,4236,0
256,BuiltinSort-Slice,19777,64
256,BuiltinSort-SliceStable,30605,64
1024,Dps-SpecializedInts,17911,0
1024,Dps-TypeAssertion,256177,32800
1024,TimSort-TypeAssertion,209264,45392
1024,TimSort-Interface,59312,14672
1024,TimSort-Slice,72290,14768
1024,BuiltinSort-Sort,116044,32
1024,BuiltinSort-Stable,131501,32
1024,BuiltinSort-SpecializedInts,25782,0
1024,BuiltinSort-Slice,98158,64
1024,BuiltinSort-SliceStable,113901,64
4096,Dps-SpecializedInts,107867,0
4096,Dps-TypeAssertion,1117330,131104
4096,TimSort-TypeAssertion,893045,152112
4096,TimSort-Interface,208950,43568
4096,TimSort-Slice,255824,43664
4096,BuiltinSort-Sort,536637,32
4096,BuiltinSort-Stable,556160,32
4096,BuiltinSort-SpecializedInts,177332,0
4096,BuiltinSort-Slice,475302,64
4096,BuiltinSort-SliceStable,479163,64
16384,Dps-SpecializedInts,494878,0
16384,Dps-TypeAssertion,4714230,524320
16384,TimSort-TypeAssertion,3272220,545328
16384,TimSort-Interface,789433,141872
16384,TimSort-Slice,988099,141968
16384,BuiltinSort-Sort,2311880,32
16384,BuiltinSort-Stable,2167330,32
16384,BuiltinSort-SpecializedInts,732985,0
16384,BuiltinSort-Slice,2051640,64
16384,BuiltinSort-SliceStable,1883500,64
65536,Dps-SpecializedInts,2060780,0
65536,Dps-TypeAssertion,28940800,2097180
65536,TimSort-TypeAssertion,20147900,2118190
65536,TimSort-Interface,3187400,535088
65536,TimSort-Slice,3929240,535184
65536,BuiltinSort-Sort,10360700,32
65536,BuiltinSort-Stable,8875220,32
65536,BuiltinSort-SpecializedInts,3139400,0
65536,BuiltinSort-Slice,9053050,64
65536,BuiltinSort-SliceStable,7590910,64
