datasize,name,ns/op,B/op
256,Unstable-Dps-TypeAssertion,67101,12320
256,Stable-TimSort-TypeAssertion,70337,14672
256,Stable-TimSort-Interface,31601,3408
256,Stable-TimSort-Slice,54231,3552
256,Unstable-BuiltinSort-Sort,29799,32
256,Unstable-BuiltinSort-Slice,54768,112
256,Stable-BuiltinSort-Stable,67467,32
256,Stable-BuiltinSort-SliceStable,171045,112
1024,Unstable-Dps-TypeAssertion,328782,49184
1024,Stable-TimSort-TypeAssertion,378684,61776
1024,Stable-TimSort-Interface,208749,14672
1024,Stable-TimSort-Slice,285112,14816
1024,Unstable-BuiltinSort-Sort,166745,32
1024,Unstable-BuiltinSort-Slice,255766,112
1024,Stable-BuiltinSort-Stable,449269,32
1024,Stable-BuiltinSort-SliceStable,1056460,112
4096,Unstable-Dps-TypeAssertion,1537930,196640
4096,Stable-TimSort-TypeAssertion,1708030,217648
4096,Stable-TimSort-Interface,1046240,43568
4096,Stable-TimSort-Slice,1372340,43712
4096,Unstable-BuiltinSort-Sort,862786,32
4096,Unstable-BuiltinSort-Slice,1287850,112
4096,Stable-BuiltinSort-Stable,2483530,32
4096,Stable-BuiltinSort-SliceStable,6000990,112
16384,Unstable-Dps-TypeAssertion,9996090,786464
16384,Stable-TimSort-TypeAssertion,10075000,807472
16384,Stable-TimSort-Interface,5256020,141872
16384,Stable-TimSort-Slice,6924020,142016
16384,Unstable-BuiltinSort-Sort,4701640,32
16384,Unstable-BuiltinSort-Slice,6438110,112
16384,Stable-BuiltinSort-Stable,12837100,32
16384,Stable-BuiltinSort-SliceStable,31850000,112
65536,Unstable-Dps-TypeAssertion,41495000,3145760
65536,Stable-TimSort-TypeAssertion,49284200,3166770
65536,Stable-TimSort-Interface,26659400,535088
65536,Stable-TimSort-Slice,33473800,535232
65536,Unstable-BuiltinSort-Sort,21071900,32
65536,Unstable-BuiltinSort-Slice,29012000,112
65536,Stable-BuiltinSort-Stable,66991900,32
65536,Stable-BuiltinSort-SliceStable,169014000,112
