datasize,name,ns/op,B/op
256,Unstable-Dps-TypeAssertion,63554,12320
256,Stable-TimSort-TypeAssertion,62734,14672
256,Stable-TimSort-Interface,17656,3408
256,Stable-TimSort-Slice,26322,3552
256,Unstable-BuiltinSort-Sort,25235,32
256,Unstable-BuiltinSort-Slice,48591,112
256,Stable-BuiltinSort-Stable,45366,32
256,Stable-BuiltinSort-SliceStable,113636,112
1024,Unstable-Dps-TypeAssertion,267512,49184
1024,Stable-TimSort-TypeAssertion,227114,61776
1024,Stable-TimSort-Interface,60813,14672
1024,Stable-TimSort-Slice,91716,14816
1024,Unstable-BuiltinSort-Sort,128237,32
1024,Unstable-BuiltinSort-Slice,215677,112
1024,Stable-BuiltinSort-Stable,179755,32
1024,Stable-BuiltinSort-SliceStable,517529,112
4096,Unstable-Dps-TypeAssertion,1291070,196640
4096,Stable-TimSort-TypeAssertion,940454,217648
4096,Stable-TimSort-Interface,234486,43568
4096,Stable-TimSort-Slice,342660,43712
4096,Unstable-BuiltinSort-Sort,629099,32
4096,Unstable-BuiltinSort-Slice,997291,112
4096,Stable-BuiltinSort-Stable,856472,32
4096,Stable-BuiltinSort-SliceStable,2346880,112
16384,Unstable-Dps-TypeAssertion,7452040,786464
16384,Stable-TimSort-TypeAssertion,5513280,807472
16384,Stable-TimSort-Interface,1002650,141872
16384,Stable-TimSort-Slice,1512620,142016
16384,Unstable-BuiltinSort-Sort,3131620,32
16384,Unstable-BuiltinSort-Slice,4685380,112
16384,Stable-BuiltinSort-Stable,4592800,32
16384,Stable-BuiltinSort-SliceStable,9764530,112
65536,Unstable-Dps-TypeAssertion,29173400,3145760
65536,Stable-TimSort-TypeAssertion,24984000,3166770
65536,Stable-TimSort-Interface,5177950,535088
65536,Stable-TimSort-Slice,7082300,535232
65536,Unstable-BuiltinSort-Sort,14488700,32
65536,Unstable-BuiltinSort-Slice,19277800,112
65536,Stable-BuiltinSort-Stable,17054300,32
65536,Stable-BuiltinSort-SliceStable,39400900,112
