datasize,name,ns/op (Random),B/op (Random),ns/op (Xor),B/op (Xor)
256,Unstable-Dps-TypeAssertion,67101,12320,63554,12320
256,Stable-TimSort-TypeAssertion,70337,14672,62734,14672
256,Stable-TimSort-Interface,31601,3408,17656,3408
256,Stable-TimSort-Slice,54231,3552,26322,3552
256,Unstable-BuiltinSort-Sort,29799,32,25235,32
256,Unstable-BuiltinSort-Slice,54768,112,48591,112
256,Stable-BuiltinSort-Stable,67467,32,45366,32
256,Stable-BuiltinSort-SliceStable,171045,112,113636,112
1024,Unstable-Dps-TypeAssertion,328782,49184,267512,49184
1024,Stable-TimSort-TypeAssertion,378684,61776,227114,61776
1024,Stable-TimSort-Interface,208749,14672,60813,14672
1024,Stable-TimSort-Slice,285112,14816,91716,14816
1024,Unstable-BuiltinSort-Sort,166745,32,128237,32
1024,Unstable-BuiltinSort-Slice,255766,112,215677,112
1024,Stable-BuiltinSort-Stable,449269,32,179755,32
1024,Stable-BuiltinSort-SliceStable,1056460,112,517529,112
4096,Unstable-Dps-TypeAssertion,1537930,196640,1291070,196640
4096,Stable-TimSort-TypeAssertion,1708030,258608,940454,217648
4096,Stable-TimSort-Interface,1046240,64048,234486,43568
4096,Stable-TimSort-Slice,1372340,64192,342660,43712
4096,Unstable-BuiltinSort-Sort,862786,32,629099,32
4096,Unstable-BuiltinSort-Slice,1287850,112,997291,112
4096,Stable-BuiltinSort-Stable,2483530,32,856472,32
4096,Stable-BuiltinSort-SliceStable,6000990,112,2346880,112
16384,Unstable-Dps-TypeAssertion,9996090,786464,7452040,786464
16384,Stable-TimSort-TypeAssertion,10075000,1004080,5513280,807472
16384,Stable-TimSort-Interface,5256020,240176,1002650,141872
16384,Stable-TimSort-Slice,6924020,240320,1512620,142016
16384,Unstable-BuiltinSort-Sort,4701640,32,3131620,32
16384,Unstable-BuiltinSort-Slice,6438110,112,4685380,112
16384,Stable-BuiltinSort-Stable,12837100,32,4592800,32
16384,Stable-BuiltinSort-SliceStable,31850000,112,9764530,112
65536,Unstable-Dps-TypeAssertion,41495000,3145760,29173400,3145760
65536,Stable-TimSort-TypeAssertion,49284200,4182580,24984000,3166770
65536,Stable-TimSort-Interface,26659400,1042990,5177950,535088
65536,Stable-TimSort-Slice,33473800,1043140,7082300,535232
65536,Unstable-BuiltinSort-Sort,21071900,32,14488700,32
65536,Unstable-BuiltinSort-Slice,29012000,112,19277800,112
65536,Stable-BuiltinSort-Stable,66991900,32,17054300,32
65536,Stable-BuiltinSort-SliceStable,169014000,112,39400900,112
