datasize,name,ns/op,B/op
256,Unstable-Dps-TypeAssertion,105163,12320
256,Stable-TimSort-TypeAssertion,107541,14672
256,Stable-TimSort-Interface,58464,3408
256,Stable-TimSort-Slice,74454,3552
256,Unstable-BuiltinSort-Sort,51049,32
256,Unstable-BuiltinSort-Slice,73388,112
256,Stable-BuiltinSort-Stable,96034,32
256,Stable-BuiltinSort-SliceStable,195358,112
1024,Unstable-Dps-TypeAssertion,536572,49184
1024,Stable-TimSort-TypeAssertion,521106,61776
1024,Stable-TimSort-Interface,321284,14672
1024,Stable-TimSort-Slice,390085,14816
1024,Unstable-BuiltinSort-Sort,281651,32
1024,Unstable-BuiltinSort-Slice,376925,112
1024,Stable-BuiltinSort-Stable,584459,32
1024,Stable-BuiltinSort-SliceStable,1188310,112
4096,Unstable-Dps-TypeAssertion,2565750,196640
4096,Stable-TimSort-TypeAssertion,2612050,217648
4096,Stable-TimSort-Interface,1630420,43568
4096,Stable-TimSort-Slice,2058120,43712
4096,Unstable-BuiltinSort-Sort,1411010,32
4096,Unstable-BuiltinSort-Slice,1866020,112
4096,Stable-BuiltinSort-Stable,3177760,32
4096,Stable-BuiltinSort-SliceStable,6949270,112
16384,Unstable-Dps-TypeAssertion,14715400,786464
16384,Stable-TimSort-TypeAssertion,12640500,971312
16384,Stable-TimSort-Interface,8357660,223792
16384,Stable-TimSort-Slice,9953860,223936
16384,Unstable-BuiltinSort-Sort,7277710,32
16384,Unstable-BuiltinSort-Slice,9464250,112
16384,Stable-BuiltinSort-Stable,16782400,32
16384,Stable-BuiltinSort-SliceStable,36379900,112
65536,Unstable-Dps-TypeAssertion,68518500,3145760
65536,Stable-TimSort-TypeAssertion,69966200,3592750
65536,Stable-TimSort-Interface,42346000,748080
65536,Stable-TimSort-Slice,51542400,748224
65536,Unstable-BuiltinSort-Sort,35500500,32
65536,Unstable-BuiltinSort-Slice,43390000,112
65536,Stable-BuiltinSort-Stable,84326600,32
65536,Stable-BuiltinSort-SliceStable,192707000,112
