datasize,name,ns/op,B/op
256,Unstable-Dps-TypeAssertion,98847,12320
256,Stable-TimSort-TypeAssertion,72280,14672
256,Stable-TimSort-Interface,26924,3408
256,Stable-TimSort-Slice,35979,3552
256,Unstable-BuiltinSort-Sort,47328,32
256,Unstable-BuiltinSort-Slice,65752,112
256,Stable-BuiltinSort-Stable,61909,32
256,Stable-BuiltinSort-SliceStable,132768,112
1024,Unstable-Dps-TypeAssertion,473138,49184
1024,Stable-TimSort-TypeAssertion,311499,61776
1024,Stable-TimSort-Interface,127703,14672
1024,Stable-TimSort-Slice,179152,14816
1024,Unstable-BuiltinSort-Sort,237974,32
1024,Unstable-BuiltinSort-Slice,321984,112
1024,Stable-BuiltinSort-Stable,331662,32
1024,Stable-BuiltinSort-SliceStable,762041,112
4096,Unstable-Dps-TypeAssertion,2133840,196640
4096,Stable-TimSort-TypeAssertion,1262180,217648
4096,Stable-TimSort-Interface,497238,43568
4096,Stable-TimSort-Slice,711926,43712
4096,Unstable-BuiltinSort-Sort,1214610,32
4096,Unstable-BuiltinSort-Slice,1602820,112
4096,Stable-BuiltinSort-Stable,1499300,32
4096,Stable-BuiltinSort-SliceStable,3553300,112
16384,Unstable-Dps-TypeAssertion,11363000,786464
16384,Stable-TimSort-TypeAssertion,9721040,971312
16384,Stable-TimSort-Interface,2206930,223792
16384,Stable-TimSort-Slice,3178930,223936
16384,Unstable-BuiltinSort-Sort,5888480,32
16384,Unstable-BuiltinSort-Slice,7399340,112
16384,Stable-BuiltinSort-Stable,7272560,32
16384,Stable-BuiltinSort-SliceStable,15559700,112
65536,Unstable-Dps-TypeAssertion,46619700,3145760
65536,Stable-TimSort-TypeAssertion,30688300,3592750
65536,Stable-TimSort-Interface,10194200,748080
65536,Stable-TimSort-Slice,15088800,748224
65536,Unstable-BuiltinSort-Sort,27300400,32
65536,Unstable-BuiltinSort-Slice,34911300,112
65536,Stable-BuiltinSort-Stable,27186400,32
65536,Stable-BuiltinSort-SliceStable,68785600,112
