datasize,name,ns/op (Random),B/op (Random),ns/op (Xor),B/op (Xor)
256,Unstable-Dps-TypeAssertion,105163,12320,98847,12320
256,Stable-TimSort-TypeAssertion,107541,14672,72280,14672
256,Stable-TimSort-Interface,58464,3408,26924,3408
256,Stable-TimSort-Slice,74454,3552,35979,3552
256,Unstable-BuiltinSort-Sort,51049,32,47328,32
256,Unstable-BuiltinSort-Slice,73388,112,65752,112
256,Stable-BuiltinSort-Stable,96034,32,61909,32
256,Stable-BuiltinSort-SliceStable,195358,112,132768,112
1024,Unstable-Dps-TypeAssertion,536572,49184,473138,49184
1024,Stable-TimSort-TypeAssertion,521106,61776,311499,61776
1024,Stable-TimSort-Interface,321284,14672,127703,14672
1024,Stable-TimSort-Slice,390085,14816,179152,14816
1024,Unstable-BuiltinSort-Sort,281651,32,237974,32
1024,Unstable-BuiltinSort-Slice,376925,112,321984,112
1024,Stable-BuiltinSort-Stable,584459,32,331662,32
1024,Stable-BuiltinSort-SliceStable,1188310,112,762041,112
4096,Unstable-Dps-TypeAssertion,2565750,196640,2133840,196640
4096,Stable-TimSort-TypeAssertion,2612050,258608,1262180,217648
4096,Stable-TimSort-Interface,1630420,64048,497238,43568
4096,Stable-TimSort-Slice,2058120,64192,711926,43712
4096,Unstable-BuiltinSort-Sort,1411010,32,1214610,32
4096,Unstable-BuiltinSort-Slice,1866020,112,1602820,112
4096,Stable-BuiltinSort-Stable,3177760,32,1499300,32
4096,Stable-BuiltinSort-SliceStable,6949270,112,3553300,112
16384,Unstable-Dps-TypeAssertion,14715400,786464,11363000,786464
16384,Stable-TimSort-TypeAssertion,12640500,1045040,9721040,971312
16384,Stable-TimSort-Interface,8357660,260656,2206930,223792
16384,Stable-TimSort-Slice,9953860,260800,3178930,223936
16384,Unstable-BuiltinSort-Sort,7277710,32,5888480,32
16384,Unstable-BuiltinSort-Slice,9464250,112,7399340,112
16384,Stable-BuiltinSort-Stable,16782400,32,7272560,32
16384,Stable-BuiltinSort-SliceStable,36379900,112,15559700,112
65536,Unstable-Dps-TypeAssertion,68518500,3145760,46619700,3145760
65536,Stable-TimSort-TypeAssertion,69966200,4190770,30688300,3592750
65536,Stable-TimSort-Interface,42346000,1047090,10194200,748080
65536,Stable-TimSort-Slice,51542400,1047230,15088800,748224
65536,Unstable-BuiltinSort-Sort,35500500,32,27300400,32
65536,Unstable-BuiltinSort-Slice,43390000,112,34911300,112
65536,Stable-BuiltinSort-Stable,84326600,32,27186400,32
65536,Stable-BuiltinSort-SliceStable,192707000,112,68785600,112
