name,time/op (ns/op),±
Ints/Dps-SpecializedInts-Random-256,3.77640E+03,2%
Ints/Dps-TypeAssertion-Random-256,6.27984E+04,3%
Ints/TimSort-TypeAssertion-Random-256,6.86280E+04,2%
Ints/TimSort-Interface-Random-256,2.94436E+04,1%
Ints/TimSort-Slice-Random-256,4.08672E+04,1%
Ints/BuiltinSort-Sort-Random-256,2.37488E+04,2%
Ints/BuiltinSort-Stable-Random-256,5.66964E+04,5%
Ints/BuiltinSort-SpecializedInts-Random-256,4.24460E+03,2%
Ints/BuiltinSort-Slice-Random-256,2.09256E+04,2%
Ints/BuiltinSort-SliceStable-Random-256,4.90096E+04,4%
Ints/Dps-SpecializedInts-Xor-256,3.61000E+03,2%
Ints/Dps-TypeAssertion-Xor-256,6.02882E+04,2%
Ints/TimSort-TypeAssertion-Xor-256,5.86632E+04,4%
Ints/TimSort-Interface-Xor-256,1.57494E+04,2%
Ints/TimSort-Slice-Xor-256,2.10312E+04,7%
Ints/BuiltinSort-Sort-Xor-256,2.17828E+04,3%
Ints/BuiltinSort-Stable-Xor-256,3.67298E+04,10%
Ints/BuiltinSort-SpecializedInts-Xor-256,4.23625E+03,0%
Ints/BuiltinSort-Slice-Xor-256,1.97774E+04,6%
Ints/BuiltinSort-SliceStable-Xor-256,3.06058E+04,2%
Ints/Dps-SpecializedInts-Random-1024,3.69068E+04,4%
Ints/Dps-TypeAssertion-Random-1024,3.11657E+05,1%
Ints/TimSort-TypeAssertion-Random-1024,3.52327E+05,2%
Ints/TimSort-Interface-Random-1024,1.99690E+05,1%
Ints/TimSort-Slice-Random-1024,2.43694E+05,2%
Ints/BuiltinSort-Sort-Random-1024,1.51960E+05,2%
Ints/BuiltinSort-Stable-Random-1024,3.62256E+05,5%
Ints/BuiltinSort-SpecializedInts-Random-1024,4.64976E+04,3%
Ints/BuiltinSort-Slice-Random-1024,1.32004E+05,2%
Ints/BuiltinSort-SliceStable-Random-1024,3.26300E+05,3%
Ints/Dps-SpecializedInts-Xor-1024,1.79116E+04,2%
Ints/Dps-TypeAssertion-Xor-1024,2.56177E+05,1%
Ints/TimSort-TypeAssertion-Xor-1024,2.09264E+05,7%
Ints/TimSort-Interface-Xor-1024,5.93122E+04,5%
Ints/TimSort-Slice-Xor-1024,7.22902E+04,14%
Ints/BuiltinSort-Sort-Xor-1024,1.16044E+05,3%
Ints/BuiltinSort-Stable-Xor-1024,1.31501E+05,2%
Ints/BuiltinSort-SpecializedInts-Xor-1024,2.57822E+04,2%
Ints/BuiltinSort-Slice-Xor-1024,9.81586E+04,3%
Ints/BuiltinSort-SliceStable-Xor-1024,1.13901E+05,2%
Ints/Dps-SpecializedInts-Random-4096,2.35649E+05,1%
Ints/Dps-TypeAssertion-Random-4096,1.40755E+06,0%
Ints/TimSort-TypeAssertion-Random-4096,1.59707E+06,1%
